Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","869.5","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01341","Apples","2023","2023","kg/ha","23984.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01343","Apricots","2023","2023","kg/ha","7648.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01211","Asparagus","2023","2023","kg/ha","4379.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2023","2023","kg/ha","3296.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","2634.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","3961.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01192","Buckwheat","2023","2023","kg/ha","868.2","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01212","Cabbages","2023","2023","kg/ha","27690.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01195","Canary seed","2023","2023","kg/ha","1092.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","26205.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01251","Carrots and turnips","2023","2023","kg/ha","42126.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01213","Cauliflowers and broccoli","2023","2023","kg/ha","12003.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01344.02","Cherries","2023","2023","kg/ha","9755.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01703","Chick peas, dry","2023","2023","kg/ha","1115.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","kg/ha","28383","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01355.02","Cranberries","2023","2023","kg/ha","21635.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01232","Cucumbers and gherkins","2023","2023","kg/ha","25261.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01330","Grapes","2023","2023","kg/ha","8791.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01290.01","Green corn (maize)","2023","2023","kg/ha","11610.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01252","Green garlic","2023","2023","kg/ha","2139.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01449.02","Hempseed","2023","2023","kg/ha","1125","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01352","Kiwi fruit","2023","2023","kg/ha","7213.3","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01254","Leeks and other alliaceous vegetables","2023","2023","kg/ha","19875.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01704","Lentils, dry","2023","2023","kg/ha","1144.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01214","Lettuce and chicory","2023","2023","kg/ha","21782.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01441","Linseed","2023","2023","kg/ha","1143.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","9925.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01199.02","Mixed grain","2023","2023","kg/ha","2531.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01442","Mustard seed","2023","2023","kg/ha","681.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0117","Oats","2023","2023","kg/ha","3204.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","kg/ha","47348.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01241.90","Other beans, green","2023","2023","kg/ha","5917.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01929.90","Other fibre crops, raw, n.e.c.","2023","2023","kg/ha","1228.9","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01449.90","Other oil seeds, n.e.c.","2023","2023","kg/ha","323.6","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2023","2023","kg/ha","24112.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01345","Peaches and nectarines","2023","2023","kg/ha","9935.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01342.01","Pears","2023","2023","kg/ha","12804.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01705","Peas, dry","2023","2023","kg/ha","2174.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01242","Peas, green","2023","2023","kg/ha","4224.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01346","Plums and sloes","2023","2023","kg/ha","8043.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01510","Potatoes","2023","2023","kg/ha","41772.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01235","Pumpkins, squash and gourds","2023","2023","kg/ha","17911.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01443","Rape or colza seed","2023","2023","kg/ha","2069.9","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01353.01","Raspberries","2023","2023","kg/ha","4926.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0116","Rye","2023","2023","kg/ha","3090.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01344.01","Sour cherries","2023","2023","kg/ha","4300.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0141","Soya beans","2023","2023","kg/ha","3087.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01215","Spinach","2023","2023","kg/ha","9179.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01354","Strawberries","2023","2023","kg/ha","8258","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01801","Sugar beet","2023","2023","kg/ha","88816.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","2323.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","89494.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01191","Triticale","2023","2023","kg/ha","2348.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01970","Unmanufactured tobacco","2023","2023","kg/ha","2836.2","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01221","Watermelons","2023","2023","kg/ha","43400.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0111","Wheat","2023","2023","kg/ha","2991.3","A","Official figure",""
